"wa","mw","mwlu"
"bdr:WA0RT0794","bdr:MW23703_1932","གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས།"
"bdr:WA0RT0794","bdr:MW1KG13126_2795","གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས།"
"bdr:WA0RT0794","bdr:MW2KG5015_1589","གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས།"
"bdr:WA0RT0794","bdr:MW22704_1589","གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས།"
"bdr:WA0RT0794","bdr:MW23702_0797","གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས།"
"bdr:WA0RT0794","bdr:MW1PD95844_0835","གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས།"
"bdr:WA0RT0811","bdr:MW23702_0814","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།"
"bdr:WA0RT0811","bdr:MW1PD95844_0852","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།"
"bdr:WA0RT0811","bdr:MW2KG5015_1606","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།"
"bdr:WA0RT0811","bdr:MW1PD95844_0833","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས།"
"bdr:WA0RT0811","bdr:MW1KG13126_2812","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།"
"bdr:WA0RT0811","bdr:MW22704_1606","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།"
"bdr:WA0RT0811","bdr:MW23703_1947","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།"
"bdr:WA0RT0816","bdr:MW1KG13126_2817","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཀྱི་མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
"bdr:WA0RT0816","bdr:MW2KG5015_1611","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཀྱི་མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
"bdr:WA0RT0816","bdr:MW22704_1611","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཀྱི་མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
"bdr:WA0RT0816","bdr:MW23703_1952","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཀྱི་མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
"bdr:WA0RT0816","bdr:MW23702_0819","གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཀྱི་མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
"bdr:WA0RT4037","bdr:MW22704_1591","མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
"bdr:WA0RT4037","bdr:MW1KG13126_2797","མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
"bdr:WA0RT4037","bdr:MW2KG5015_1591","མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
"bdr:WA0RT4037","bdr:MW23703_1934","མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།"
